controller,tracking_peak_after_4_5_mm,formal_recovery_delay_s,nominal_same_threshold_delay_s,deviation_from_nominal_peak_mm,deviation_same_threshold_delay_s,proportional_joint1_torque_for_e2_1deg_nm,proportional_joint2_torque_for_e2_1deg_nm,instantaneous_external_acceleration_joint1_rad_s2,instantaneous_external_acceleration_joint2_rad_s2
pid,27.64415887552085,1.5549999999999997,2.755,34.67965632893969,0.11899999999999977,0.0,1.7928102809793725,6.054060487836613,-65.11350697226615
pid_gravity,17.56365497491008,0.08699999999999974,0.0,22.894843497288484,0.13600000000000012,0.0,3.3827111089419515,6.396307614274027,-66.02517877949792
computed_torque,102.44818225839805,0.2629999999999999,0.0,102.3656296056223,0.26199999999999957,0.5043071686672732,0.19910084665923317,6.468617084947522,-66.19303030580856
