controller,payload_mass_kg,joint_1_rmse_rad,joint_2_rmse_rad,overall_joint_rmse_rad,joint_1_rmse_deg,joint_2_rmse_deg,overall_joint_rmse_deg,end_effector_rmse_m,maximum_end_effector_error_m,control_effort_nm2_s,saturation_fraction,absolute_mechanical_work_j
pid,0.0,0.023707598470188582,0.013979126899165974,0.019461066441573447,1.3583453347326129,0.8009449726000119,1.1150369719258377,0.025366113605645002,0.054107412955028196,1440.9704616205918,0.0,54.45157467791887
pid_gravity,0.0,0.0035353623665365787,0.001301787755065879,0.0026639668186712244,0.20256134265192874,0.07458694418708502,0.15263405547275383,0.0035192802498800035,0.007221443829309791,1444.3426263941205,0.0,53.6834719707644
computed_torque,0.0,2.911393171332941e-05,0.00011972907311895604,8.712827316586942e-05,0.001668105412205857,0.006859970574729417,0.004992082328667262,3.720699695692052e-05,0.00010135414212973587,1446.3488036187134,0.0,53.496763566539656
pid,0.25,0.0283795232926918,0.01886788120081326,0.024097658426997036,1.6260269092644535,1.0810499611608275,1.3806941240147923,0.03110394835612956,0.06797197218017641,1903.538230442243,0.01275,61.93033351695303
pid_gravity,0.25,0.007462996092006001,0.0037743820209927793,0.005913639755247634,0.4275981785945709,0.21625616007294435,0.33882659953646654,0.0077845447404614404,0.015166917113515062,1907.2403248610965,0.0,61.07662704630266
computed_torque,0.25,0.015566197977557582,0.09667223786883346,0.06923809678942966,0.8918774471791272,5.5389112259689295,3.967050727552615,0.02853943380651897,0.04175325368323766,1905.3161056040813,0.0,60.63647060847389
pid,0.5,0.09216831545089436,0.02333511107383743,0.06722918184049219,5.280855480166662,1.3370033789998752,3.8519483795777583,0.08191011189374475,0.24952322779286687,2425.651545475944,0.32625,78.09524284364758
pid_gravity,0.5,0.07219428427175362,0.006467737779946497,0.05125351848166574,4.136427793739182,0.370574077788247,2.93661029419521,0.060548039243018756,0.21326210371055426,2429.3360732788756,0.25275000000000003,74.6337158681059
computed_torque,0.5,0.16402896901208838,0.33360421637640036,0.26286619776920844,9.398167642274828,19.11411362613684,15.061123708826859,0.06859495387689372,0.16305268054821886,2423.34359630587,0.24375000000000002,74.33952091030912
pid,0.75,0.48805158743975713,0.01970012482987055,0.34538561559565484,27.963296144958143,1.1287340086324615,19.789138078158846,0.4014212540255351,0.7800652786137995,3072.730186258799,0.831875,110.31538142050069
pid_gravity,0.75,0.45383181539085937,0.006201172035972554,0.32093751042499086,26.002647630656558,0.3553009856957753,18.388364834787836,0.3718613009887808,0.8255793473173471,3308.659117961818,0.901125,61.71857565939929
computed_torque,0.75,0.4005084118457268,0.59789953833517,0.5088668027591291,22.94744165824753,34.25712011942561,29.155920132414213,0.15364570274529726,0.39421024173397673,2759.972721679589,0.536875,96.66904727418019
pid,1.0,0.801719969356963,0.019736248443998693,0.56707337654327,45.93517059551167,1.1308037392627632,32.490911150162304,0.6422893391688095,1.2463161499699367,3353.37309562141,0.955125,73.41549201530738
pid_gravity,1.0,0.8034477831032232,0.008216325991964934,0.5681530815661775,46.034167030957065,0.47076080244323026,32.55277369109398,0.6356000025563854,1.2298497926410261,3370.874420401942,0.92375,57.820160845504496
computed_torque,1.0,0.6129895738291768,0.7773659799190772,0.7000193155759429,35.12171546593481,44.53978978641463,40.108152360138014,0.2645652930671375,0.5867778029011356,2961.6209555675273,0.643125,119.35621116653945
